ville Paris comptait 2,187 millions habitants 1er janvier 2020;1
Paris joue rôle plan histoire Europe monde;0
Paris symbolise culture française;1
région parisienne accueille institutions internationales sièges sociaux grandes entreprises York Londres;0
région parisienne une riches régions Europe;1
densité réseaux ferroviaires autoroutier structures aéroportuaires font point convergence transports nationaux internationaux;0
politiques publiques cependant décentralisation;0
macrocéphalie atteinte ville concrétise par réseaux routiers ferroviaires pays centre écarts démographiques économiques disproportionnés capitale province;0
Paris accueille compétitions internationales — 1975;1
ville Paris propriétaire domaine entourant sources Seine;0
La Seine recevait affluent ruisseau Ménilmontant traversait faubourgs Saint;0
altitude territoires 31 mètres 39 mètres supérieure niveau moyen fleuve 26,72 mètres;0
col Chapelle hauteurs Belleville butte Montmartre lieu voies communication régions Nord routières Antiquité;0
géologie Paris alentours représente synthèse ensemble;0
mer venue ouest dépose calcaires pisolithiques calcaire grains irréguliers forme pois).Cycle thanétien –59 –55 millions années;0
Cycle aquitanien de –20 millions années;1
plissement affecté sol Paris époque formation massif alpin déterminé structure actuelle formant bombements orientation;0
bombements encadrent synclinal fosse Saint Denis passe Pontoise Cormeilles-en-Parisis Argenteuil Villemomble Rosny-sous-Bois;0
plateau Beauce stampien sommet buttes témoins Montmartre Belleville;0
superficie excavée représente 850 hectares;1
Paris a climat type océanique influence océanique dépasse continentale;0
développement urbanisation provoque augmentation température baisse nombre jours brouillard;0
record température chaude eu lieu;1
température atteint 36,5 ° C;1
agriculture urbaine 2016 place modeste comparée métropoles Détroit Montréal Berlin Bruxelles 44 installations agricoles 1,6 hectare toits 1,3 hectare sol;1
La Ville donne objectif 33 hectares;0
développement durable rattaché Ministère Transition écologique publié bilan montrant amélioration qualité air extérieur France;1
émissions liées activité humaine baissé entre émissions dioxyde soufre provenant industrie;1
ozone polluants présentent dépassements;0
2020Le confinement pour limiter l'impact de la pandémie de Covid-19 permet d' faible niveau pollution enregistré Airparif 40 ans;0
côté transports commun ferroviaires existe réseau dense centaine lignes bus plan initialement tracé essentiel;0
taux équipement automobile ménages Paris;0
mairie lancé système location voitures libre-service courte durée Autolib;1
circulation cycliste représente tiers circulation automobile;1
organisation actuelle ville doit travaux Haussmann;0
capitale France prend visage Paris laisse place « Grand Paris;0
organisation administrative Paris connu sous adaptation évolution démographique;1
19e 20e comptaient 000 1999 % parc social parisien concentré arrondissements;0
difficultés logement importantes à ménages capitale confrontés 2016 taux hausse 2015;0
mise place Casier Sanitaire maisons Paris permis d ’ identifier 17 îlots insalubres Paris;1
îlots repris par forme évoluer;0
42 rue Beaubourg reconstruit entre politique menée;0
nombre 346 000 logements vacants % logements capitale;0
73 362 foyers fiscaux déclaraient patrimoine moyen 1 961 667 euros;1
catégories socioprofessionnelles favorisées représentent 2018 86 % transactions logements 69 %;1
cité prend nom Paris;1
épisode procure grand prestige Paris comte Eudes aidé défense;0
Paris poursuit croissance;1
rayonnement intellectuel accroît enseignement moderne tourné humanisme sciences exactes;1
ville pourtant ruinée affamée ouvre portes;1
La Journée des barricades (1648) marque début Fronde provoque importante crise économique;1
Versailles dépossède Paris;1
C période salons littéraires;0
journée 10 août voit foule assiéger Palais Tuileries soutien gouvernement municipal;1
Parisiens vivent années rationnement;1
L'Empereur multiplie par points eau alimentés réseau 50 km canaux acheminent eau Ourcq;1
bataille Paris entraîne capitulation capitale;1
choléra 1832 fait 32 000 victimes;1
Napoléon III a idées précises urbanisme logement Paris aujourd' Haussmann;1
capitale française passe 288      7 802 hectares;0
ville Paris lève grand emprunt public 1,2 million francs grand succès;1
ville possède entreprises emploient million ouvriers;1
expositions universelles laissent large empreinte;1
Années folles, Paris connaît apogée influence culturelle;1
crue centennale Seine provoque graves inondations ville connue cause milliards francs dégâts;1
gouvernement maréchal Pétain installé Vichy Paris cesse d' commandement militaire allemand France Militärbefehlshaber Frankreich;0
Libération Paris fait 25 août entrée Paris 2e division blindée général Leclerc 4e division infanterie américaine major-général Raymond O. Barton;1
manifestation soutien gouvernement Général Gaulle réunit million personnes place Étoile;1
Paris élit maire gauche socialiste Bertrand Delanoë ensuite réélu 2008;1
Paris janvier collectivité statut exerce compétences commune département;1
Paris avait maire;1
préfet police nommé État conserve pouvoirs police;1
budget primitif 2011 ville département élevait à 6,906 milliards euros consacrés fonctionnement 1,676 investissement;1
fiscalité représente 55 % recettes ville;1
stabilité concerne taux imposition;1
bulle développée mandature M. Delanoë permis hausse extrêmement importante rentrées fiscales assises immobilier;1
bulle fiscale permis d' effectifs Mairie Paris 49 000 agents 73 000 agents;1
explosion bulle immobilière temporaire laisse mairie;0
Bertrand Delanoë annoncé en création nouvelle taxe départementale 3 % foncier payée uniquement propriétaires hausse taux impôt foncier;1
agences notation rétrogradent Paris;1
arrondissement trouve tribunal instance;0
ordre administratif Paris ressort tribunal administratif Paris;1
Paris siègent juridictions nationales suprêmes Conseil constitutionnel Cour cassation Conseil État;1
prisons devenues historiques;1
Palais justice possédait propre prison Conciergerie accueilli Girondins Marie;1
région Île-de-France totalise à crimes délits commis France métropolitaine;1
Paris classement grandes;0
macrocéphalie atteinte ville concrétise par réseaux routiers ferroviaires pays centre écarts démographiques économiques disproportionnés capitale province;0
ville conclu pactes amitié coopération villes monde Tokyo 1982;1
Paris joue rôle culturel diplomatique;1
région Île-de-France accueille institutions internationales;1
région Île-de-France accueille sièges sociaux grandes entreprises 27 sièges sociétés Fortune Global 500 Île-de-France;1
capitale française accueille siège banques;1
banques transféré équipes Londres Paris;1
place Paris accueille 33 entreprises françaises leaders mondiales secteur;1
métropole Grand Paris accueille siège principaux groupes télévisuels français Groupe TF1 France Télévisions France Info;1
Boulogne-Billancourt trouve siège TF1 chaîne commerciale Europe;1
ville occupe place éminente scène mondiale;1
-Honoré trouvent Louis Vuitton, Guerlain, d'autres grandes marques de luxe, et à l'angle avec la rue Boissy-d'Anglas, Hermès et Lanvin;1
marques françaises trouvent marques luxe étrangères Chopard Gucci etc.;1
Paris trouve siège LVMH;1
C au musée trouve Joconde tableau célèbre monde objet art visité monde;0
ans tient à Foire internationale art contemporain FIAC;0
Organisation internationale francophonie OIF a siège Paris;1
Paris trouve siège fédération internationale automobile;1
région Île-de-France accueille 42 millions touristes an Paris intra-muros 32 millions 2013 approximativement 15,5 millions étrangers ville visitée monde;1
Paris déroule prix hippiques prestigieux monde prix Arc Triomphe hippodrome Paris Longchamp prix Amérique hippodrome Vincennes;1
Paris comptait 2 190 327 habitants;1
recensements communes 10 000 habitants moyen lieu;1
aire urbaine incluant communes situées zone influence forte ville comprend 1 794 communes;1
zone métropolitaine Paris compte 15 % musulmans;1
13e arrondissement situe quartier asiatique Paris important Chinatown Europe;1
2005 Paris 41,3 % jeunes 18 ans au parent immigré 12,1 % origine maghrébine 9,9 % Afrique subsaharienne;1
commune comptait 501 836 familles regroupant 1 433 376 personnes 68 % population parisienne;1
Paris possède établissements zone éducation prioritaire ZEP réseau éducation prioritaire REP 214 écoles 32 collèges enfant parisien;1
ville totalisait 881 établissements publics 323 écoles maternelles 334 écoles élémentaires établissements spécialisés écoles hôpital 110 collèges 72 lycées généraux technologiques 34 lycées professionnels lycées expérimentaux publics;1
enseignement supérieur regroupait 2007 585 000 étudiants Île-de-France quart total français;1
plateau Saclay sud Paris devenu pôle important;1
Foire Paris rappelle grands rassemblements médiévaux;1
semi-marathon Paris marathon Paris ont lieu;1
Gay pride en Fête Musique 21 juin;1
14 juillet occasion traditionnel défilé militaire Champs-Élysées Concert Paris Champ-de-Mars feu artifice tiré jardins Trocadéro;1
mois accueille Foire internationale art contemporain FIAC;1
grande couronne possède hôpitaux généralement intercommunaux;1
Paris a forte densité médicale 11,2 médecins;1
L'Officiel des spectacles et Le Figaroscope, quant à eux, offrent programme culturel exhaustif métropole;1
Teleplaisance.org, autre chaîne associative diffuse programmes amateurs;1
chaînes partagent canal;1
ville compte paroisses catholiques accueillant fidèles vingt-quatre missions étrangères 730 prêtres 220 communautés religieuses femmes 80 hommes;1
nombre important groupes Fortune 500 ont siège;1
capitale française dépose année brevets;0
salaires parisiens supérieurs à 19 euros heure;1
capitale tête villes France;0
ville Paris connaît tertiarisation croissante économie prolifération sociétés services;1
122 300 entreprises employaient Au salarié;0
Rive Gauche dans le 13e arrondissement avancé projets cours développement;0
Paris compte 1 800 immeubles classés inscrits inventaire monuments historiques lieux culte;1
monuments style classique marquent centre Paris empreinte;1
tour Montparnasse basilique Sacré-Cœur sommet de hauteur points repère importants ciel parisien;1
Paris comporte 463 parcs jardins bois Boulogne bois Vincennes cimetières arborés;1
type jardin voit jour;0
jardins familiaux éducatifs agrémenté périphérie ville long ancienne ligne ferroviaire circulaire « Petite Ceinture;1
grandes figures trouvé repos;1
promoteur chinois construit « petit Paris;1
Paris et la région Île-de-France possèdent importante offre muséographique France;1
Capitale pluriséculaire riche patrimoine Paris attire année visiteurs;0
château Versailles palais édifié Roi-Soleil résidence rois France XVIIe XVIIIe siècles attire millions visiteurs an;1
ville possède musée Petit Palais musée beaux-arts ville Paris musée Cernuschi musée Arts asiatiques ville Paris;1
établissement public dépositaire en dépôt légal;0
ville gère cinquante-cinq;0
Paris intra-muros offre réparties;1
légendes monde français francophone Édith Piaf Maurice Chevalier Georges Brassens Charles Aznavour Jacques Brel trouvé gloire;1
salle Pleyel accueille concerts symphoniques;1
Philharmonie Paris Cité musique parc Villette propose concerts musique classique contemporaine;1
Élysée Montmartre mentionné ci-dessous taille nettement réduite devenu salle concert;1
guinguettes cafés-concerts constituaient épine dorsale;1
Paris compte grand nombre salles obscures 88 cinémas 2012 38 classés;1
salles possèdent 1 000 places;1
ancien American Center architecte Frank O.Gehry abrite désormais Cinémathèque française nord passerelle;1
cafés devenus partie intégrante culture française aspect;0
immigration provenance pays étrangers apporté grande diversité culinaire trouve Paris grand nombre établissements cuisine Italie Maghreb Asie établissements proposant préparations culinaires provenance continents;1
rayonnement université fait grands foyers intellectuels monde chrétien;1
adoption dialecte parisien Cour affirme vocation;1
Paris redevient centre culturel royaume;1
monde littéraire fait large;0
immeubles portent plaque rappelant séjour écrivain;1
Paris inspiré écrivains;1
Paris occupe place privilégiée œuvre Scènes vie parisienne;1
Mystères Paris Eugène Sue large place Paris pègre connaît immense succès parution feuilleton 1842–1843;1
volumineux ouvrages traitant Paris populaire devenu classiques;1
poésie joue rôle;1
Paris constitue thème cadre;0
œuvres expriment foi médiévale;1
Paris devient capitale musique grands maîtres étrangers Rossini Gaetano Donizetti Richard Wagner attire rayonnement grâce propres compositions;1
Gounod renouvelle opéra lyrique;1
musique festive danses Paris célèbre dans XIXe siècle;1
fin XIXe siècle époque chansonniers Chat noir lieu représentation emblématique immortalisé Toulouse Lautrec;0
scènes insolites constituaient sujets prédilection enfants jouant rues concierges bistrots marchés;1
images Willy Ronis évoquent Belleville Ménilmontant;0
cinéma français devenus classiques;1
film choral Cédric Klapisch Paris 2008 déroule exclusivement;0
origine périphrase vient de XVIIe siècle;1
jeu déroule début Seconde Guerre mondiale;1
missions ont lieu également;1
dessinée belge Ligne claire;0
-Christophe .Principales bandes dessinées décor ville Paris;0
